File,Max Score,Avg Score,Number of Files not Found
MathArticles/wpmath0000007/'t_Hooft_symbol/3.xml,1,0.6279747645630985,0
MathArticles/wpmath0000009/10-Formyltetrahydrofolate/1.xml,1,1,1
MathArticles/wpmath0000006/2-category/25.xml,1,0.7087233521195786,0
MathArticles/wpmath0000009/331_model/5.xml,1,0.8107310526753037,1
MathArticles/wpmath0000016/3D_sound_localization/24.xml,1,0.4638341223146313,1
MathArticles/wpmath0000007/Abraham–Lorentz_force/10.xml,1,0.5856645658538915,1
MathArticles/wpmath0000008/Absolute_presentation_of_a_group/22.xml,1,0.797707477592535,1
MathArticles/wpmath0000001/Absolute_value/138.xml,1,0.6990877606958489,0
MathArticles/wpmath0000011/Abstract_family_of_acceptors/77.xml,1,0.748472079552588,0
MathArticles/wpmath0000001/Accuracy_and_precision/0.xml,1,0.5948142076750528,0
MathArticles/wpmath0000001/Acoustic_theory/61.xml,1,0.46671683491816945,1
MathArticles/wpmath0000001/Acoustic_theory/88.xml,1,0.6415945572109074,2
MathArticles/wpmath0000015/Acoustoelastic_effect/194.xml,1,0.9888888888888889,0
MathArticles/wpmath0000016/Additive_State_Decomposition/6.xml,1,0.7415443288401674,0
MathArticles/wpmath0000014/Adequality/32.xml,1,1,4
MathArticles/wpmath0000004/Adiabatic_theorem/10.xml,1,0.943030303030303,0
MathArticles/wpmath0000004/Adiabatic_theorem/40.xml,1,1,8
MathArticles/wpmath0000009/Admissible_heuristic/14.xml,1,1,0
MathArticles/wpmath0000002/Adsorption/14.xml,1,0.7107206184734054,0
MathArticles/wpmath0000007/Affine_curvature/22.xml,1,0.6073976768681707,0
MathArticles/wpmath0000015/Affine_term_structure_model/13.xml,1,0.6235700408261358,2
MathArticles/wpmath0000001/Affine_transformation/57.xml,1,0.683822545784914,0
MathArticles/wpmath0000013/Alan_M._Frieze/14.xml,1,0.6928563706206603,2
MathArticles/wpmath0000002/Algebraic_integer/17.xml,1,1,0
MathArticles/wpmath0000008/Algebraically_closed_group/87.xml,1,0.9583333333333334,1
MathArticles/wpmath0000002/Allele_frequency/1.xml,1,0.890962962962963,0
MathArticles/wpmath0000003/Almost_periodic_function/27.xml,1,0.6073850798426866,2
MathArticles/wpmath0000007/Alternating_permutation/27.xml,1,0.7021791430624578,1
MathArticles/wpmath0000008/Alternatives_to_general_relativity/112.xml,1,0.637932206891528,1
MathArticles/wpmath0000001/Americium/8.xml,1,0.6966190520828986,0
MathArticles/wpmath0000004/Ample_line_bundle/31.xml,1,0.6807817224519018,0
MathArticles/wpmath0000004/Analytic_combinatorics/13.xml,1,0.6495052420922997,2
MathArticles/wpmath0000002/Angular_frequency/0.xml,1,1,0
MathArticles/wpmath0000001/Angular_momentum/163.xml,1,0.7605573493131781,0
MathArticles/wpmath0000001/Angular_velocity/3.xml,1,0.6768288188423585,0
MathArticles/wpmath0000016/Approximation-preserving_reduction/38.xml,1,0.6614922101516304,0
MathArticles/wpmath0000003/Apriori_algorithm/10.xml,1,0.5950201292594427,3
MathArticles/wpmath0000013/Arbitrarily_varying_channel/111.xml,1,0.8979166666666667,0
